Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	rate_neo	root_freqs[1]	root_freqs[2]	tree_length
0	-7940.141	-8189.116	248.975	0.791146	2.07273	0.5733511	0.480549	0.519451	7.130225
6	-7942.344	-8189.658	247.3143	0.7892971	1.911361	0.4568198	0.500338	0.499662	8.171759
12	-7941.823	-8190.004	248.181	0.9829736	1.676825	0.5382689	0.513494	0.486506	7.613489
18	-7914.406	-8162.849	248.443	0.8595499	1.763797	0.5382689	0.459834	0.540166	7.50857
24	-7912.298	-8160.953	248.655	0.7737233	1.756957	0.481504	0.512419	0.487581	7.492997
30	-7920.325	-8169.598	249.2735	0.8025295	2.142424	0.5208945	0.488368	0.511632	6.986189
36	-7913.903	-8164.117	250.2139	0.8372195	1.960132	0.5731645	0.482541	0.517459	6.472278
42	-7951.682	-8200.539	248.8564	0.8714613	1.957208	0.6122466	0.513855	0.486145	7.156362
48	-7961.831	-8211.883	250.0518	0.8720633	1.957208	0.5962048	0.505406	0.494594	6.523671
54	-7921.852	-8170.998	249.1462	0.9000111	2.408661	0.4707461	0.525076	0.474924	6.971145
60	-7920.584	-8169.738	249.1541	0.9000111	2.029843	0.5951158	0.52831	0.47169	6.971145
66	-7923.518	-8174.14	250.6226	0.8750421	1.629939	0.6273225	0.493562	0.506438	6.30196
72	-7930.111	-8179.762	249.6501	0.8254815	1.629939	0.6273225	0.495159	0.504841	6.85504
78	-7926.941	-8177.799	250.8585	0.8785399	1.953499	0.6273225	0.488392	0.511608	6.058925
84	-7917.887	-8165.398	247.5107	0.7220898	1.656986	0.5408771	0.468667	0.531333	8.115719
90	-7908.036	-8156.729	248.6929	0.8054468	1.817208	0.5396007	0.487793	0.512207	7.38418
96	-7914.649	-8163.299	248.6499	0.8484536	1.817208	0.5396007	0.487793	0.512207	7.38418
102	-7926.136	-8175.586	249.4494	0.8576946	1.756851	0.5963741	0.555591	0.444409	6.924029
108	-7924.111	-8174.073	249.9627	0.8339748	1.954872	0.5648724	0.555591	0.444409	6.618485
114	-7912.023	-8160.754	248.7314	0.7673339	2.037967	0.5593543	0.555591	0.444409	7.295964
120	-7924.563	-8173.706	249.1435	0.8054681	1.957413	0.5466379	0.520078	0.479922	7.090022
126	-7923.326	-8173.023	249.697	0.8979191	2.224537	0.5667965	0.520078	0.479922	6.643309
132	-7936.652	-8184.511	247.8595	0.7960327	1.84366	0.4849227	0.520078	0.479922	7.873864
138	-7933.277	-8180.655	247.3784	0.8497152	2.469959	0.4707105	0.506157	0.493843	7.92924
144	-7918.323	-8166.633	248.31	0.794077	2.46006	0.4567784	0.537206	0.462794	7.476442
150	-7932.517	-8181.29	248.7723	0.807776	1.856599	0.5352433	0.536666	0.463334	7.330753
156	-7925.099	-8173.231	248.1323	0.8884641	1.934594	0.5207603	0.536666	0.463334	7.617225
162	-7932.592	-8181.382	248.79	0.7947141	1.926036	0.5123131	0.571425	0.428575	7.325105
168	-7917.021	-8165.851	248.8306	0.7935249	1.92379	0.4892712	0.513385	0.486615	7.325105
174	-7910.285	-8159.722	249.4375	0.8782951	2.033535	0.5359227	0.581921	0.418079	6.87738
180	-7921.71	-8171.404	249.6942	0.8404518	2.196652	0.5381839	0.537643	0.462357	6.707913
186	-7927.828	-8176.704	248.8763	0.832108	2.364746	0.5758841	0.537643	0.462357	7.074264
192	-7927.228	-8176.059	248.8307	0.8363893	1.781333	0.5283554	0.420738	0.579262	7.315434
198	-7917.948	-8166.541	248.5931	0.8204966	2.047803	0.5163708	0.472238	0.527762	7.374891
204	-7920.779	-8169.089	248.3098	0.8259858	2.047803	0.5586265	0.566698	0.433302	7.488169
210	-7914.02	-8163.022	249.002	0.9003424	2.232122	0.4352925	0.550487	0.449513	7.131954
216	-7929.765	-8177.872	248.1076	0.9151649	2.11526	0.4531763	0.550487	0.449513	7.620967
222	-7943.977	-8192.948	248.9712	0.8721833	2.031124	0.5112243	0.537643	0.462357	7.153745
228	-7928.98	-8177.49	248.5098	0.7423608	2.239007	0.5629921	0.513193	0.486807	7.365282
